file,Layer,Module,typed/untyped,notAnyRate
src/_pytest/warnings.py,L0,M0,typed,1.0
src/_pytest/warning_types.py,L0,M0,typed,0.75
src/_pytest/deprecated.py,L0,M0,typed,1.0
src/_pytest/_io/wcwidth.py,L0,M0,typed,1.0
src/_pytest/_io/terminalwriter.py,L0,M0,typed,1.0
src/_pytest/_io/__init__.py,L0,M0,untyped,null
src/_pytest/_io/saferepr.py,L0,M0,typed,1.0
src/_pytest/outcomes.py,L0,M0,typed,0.9696969696969697
src/_pytest/compat.py,L0,M0,typed,0.9302325581395349
src/_pytest/pathlib.py,L0,M0,typed,1.0
src/_pytest/_code/source.py,L0,M0,typed,1.0
src/_pytest/_code/code.py,L0,M0,typed,1.0
src/_pytest/_code/__init__.py,L0,M0,untyped,null
src/_pytest/mark/expression.py,L0,M0,typed,1.0
src/_pytest/store.py,L0,M0,typed,1.0
src/_pytest/_argcomplete.py,L0,M0,typed,0.9
src/_pytest/config/exceptions.py,L0,M0,untyped,null
src/_pytest/config/argparsing.py,L0,M0,typed,0.9294117647058824
src/_pytest/mark/structures.py,L0,M0,typed,0.9824561403508772
src/_pytest/mark/__init__.py,L0,M0,typed,1.0
src/_pytest/config/compat.py,L0,M0,typed,1.0
src/_pytest/reports.py,L0,M0,typed,0.9746835443037976
src/_pytest/main.py,L0,M0,typed,1.0
src/_pytest/timing.py,L0,M0,untyped,null
src/_pytest/runner.py,L0,M0,typed,1.0
src/_pytest/nodes.py,L0,M0,typed,1.0
src/_pytest/terminal.py,L0,M0,typed,1.0
src/_pytest/fixtures.py,L0,M0,typed,0.9917355371900827
src/_pytest/python.py,L0,M0,typed,1.0
src/_pytest/__init__.py,L0,M0,untyped,null
src/_pytest/helpconfig.py,L0,M0,typed,1.0
src/_pytest/assertion/truncate.py,L0,M0,typed,1.0
src/_pytest/python_api.py,L0,M0,typed,0.8904109589041096
src/_pytest/assertion/util.py,L0,M0,typed,0.7714285714285715
src/_pytest/assertion/rewrite.py,L0,M0,typed,1.0
src/_pytest/assertion/__init__.py,L0,M0,typed,0.9333333333333333
src/_pytest/config/findpaths.py,L0,M0,typed,1.0
src/_pytest/cacheprovider.py,L0,M0,typed,1.0
src/_pytest/hookspec.py,L0,M0,typed,1.0
src/_pytest/config/__init__.py,L0,M0,typed,1.0
src/_pytest/capture.py,L0,M0,typed,1.0
src/_pytest/freeze_support.py,L0,M0,typed,1.0
src/_pytest/tmpdir.py,L0,M0,typed,1.0
src/_pytest/monkeypatch.py,L0,M0,typed,1.0
src/_pytest/pytester_assertions.py,L0,M0,typed,1.0
src/_pytest/pytester.py,L0,M0,typed,0.9898305084745763
src/_pytest/doctest.py,L0,M0,typed,0.9891304347826086
src/_pytest/debugging.py,L0,M0,typed,1.0
src/pytest/collect.py,L0,M0,typed,0.75
src/_pytest/recwarn.py,L0,M0,typed,0.8333333333333334
src/_pytest/logging.py,L0,M0,typed,1.0
src/pytest/__init__.py,L0,M0,untyped,null
src/_pytest/skipping.py,L1,M0,typed,1.0
src/_pytest/setuponly.py,L1,M1,typed,1.0
src/_pytest/setupplan.py,L1,M2,typed,1.0
src/pytest/__main__.py,L1,M3,untyped,null
src/_pytest/unraisableexception.py,L1,M4,typed,1.0
src/_pytest/threadexception.py,L1,M4,typed,1.0
src/_pytest/stepwise.py,L1,M5,typed,1.0
src/_pytest/pastebin.py,L1,M6,typed,1.0
src/_pytest/junitxml.py,L1,M7,typed,1.0
src/_pytest/faulthandler.py,L1,M8,typed,1.0
src/_pytest/nose.py,L1,M9,typed,1.0
src/_pytest/unittest.py,L1,M9,typed,0.9824561403508772
